testType,structType,kVal,nVal,dVal,distribution,time
k,bucket,5,1000,2,G,11095683
k,bucket,10,1000,2,G,11430659
k,bucket,25,1000,2,G,12300273
k,bucket,50,1000,2,G,11543369
k,bucket,100,1000,2,G,12435682
n,bucket,25,1000,2,G,1246190
n,bucket,25,2000,2,G,5443689
n,bucket,25,5000,2,G,33708860
n,bucket,25,10000,2,G,153076081
d,bucket,25,1000,1,G,5301750
d,bucket,25,1000,2,G,11372717
d,bucket,25,1000,3,G,13978391
d,bucket,25,1000,4,G,15128445
d,bucket,25,1000,5,G,16219606
d,bucket,25,1000,6,G,17195027
d,bucket,25,1000,7,G,18336041
k,bucket,5,1000,2,U,3447181
k,bucket,10,1000,2,U,3449106
k,bucket,25,1000,2,U,3330172
k,bucket,50,1000,2,U,3425904
k,bucket,100,1000,2,U,3504999
n,bucket,25,1000,2,U,316543
n,bucket,25,2000,2,U,1541230
n,bucket,25,5000,2,U,9548369
n,bucket,25,10000,2,U,37547945
d,bucket,25,1000,1,U,1663659
d,bucket,25,1000,2,U,3562487
d,bucket,25,1000,3,U,3934044
d,bucket,25,1000,4,U,12148986
d,bucket,25,1000,5,U,10666506
d,bucket,25,1000,6,U,8975230
d,bucket,25,1000,7,U,7411046
kn,bucket,5,1000,2,U,320637
kn,bucket,10,2000,2,U,1370459
kn,bucket,25,5000,2,U,9799423
kn,bucket,50,10000,2,U,39021591
testType,structType,kVal,nVal,dVal,distribution,time
k,bucket,5,1000,2,G,11215028
k,bucket,10,1000,2,G,12439525
k,bucket,25,1000,2,G,11223877
k,bucket,50,1000,2,G,13012945
k,bucket,100,1000,2,G,12768573
n,bucket,25,1000,2,G,1182344
n,bucket,25,2000,2,G,4969789
n,bucket,25,5000,2,G,35242896
n,bucket,25,10000,2,G,146467623
d,bucket,25,1000,1,G,4785728
d,bucket,25,1000,2,G,12370264
d,bucket,25,1000,3,G,13689750
d,bucket,25,1000,4,G,15223195
d,bucket,25,1000,5,G,16862746
d,bucket,25,1000,6,G,18105519
d,bucket,25,1000,7,G,18230541
kn,bucket,5,1000,2,G,1178578
kn,bucket,10,2000,2,G,5040307
kn,bucket,25,5000,2,G,35935461
kn,bucket,50,10000,2,G,148893399
testType,structType,kVal,nVal,dVal,distribution,time
k,bucket,5,1000,2,G,10812229
k,bucket,10,1000,2,G,10966848
k,bucket,25,1000,2,G,12219846
k,bucket,50,1000,2,G,12212722
k,bucket,100,1000,2,G,12632104
n,bucket,25,1000,2,G,1200273
n,bucket,25,2000,2,G,5095615
n,bucket,25,5000,2,G,31979285
n,bucket,25,10000,2,G,146717950
n,bucket,25,11000,2,G,174486540
d,bucket,25,1000,1,G,5687777
d,bucket,25,1000,2,G,11846220
d,bucket,25,1000,3,G,13468182
d,bucket,25,1000,4,G,15400580
d,bucket,25,1000,5,G,15949340
d,bucket,25,1000,6,G,17442882
d,bucket,25,1000,7,G,18112578
kn,bucket,5,1000,2,G,1240769
kn,bucket,10,2000,2,G,4977455
kn,bucket,25,5000,2,G,34784411
kn,bucket,50,10000,2,G,144596892
kn,bucket,100,11000,2,G,182382820
k,bucket,5,1000,2,U,3233966
k,bucket,10,1000,2,U,3453238
k,bucket,25,1000,2,U,3476946
k,bucket,50,1000,2,U,3324657
k,bucket,100,1000,2,U,3454255
n,bucket,25,1000,2,U,392000
n,bucket,25,2000,2,U,1312888
n,bucket,25,5000,2,U,8982772
n,bucket,25,10000,2,U,38046626
n,bucket,25,11000,2,U,46244826
d,bucket,25,1000,1,U,1610721
d,bucket,25,1000,2,U,3373853
d,bucket,25,1000,3,U,3572849
d,bucket,25,1000,4,U,11954639
d,bucket,25,1000,5,U,10436091
d,bucket,25,1000,6,U,8276868
d,bucket,25,1000,7,U,7584665
kn,bucket,5,1000,2,U,330407
kn,bucket,10,2000,2,U,1617457
kn,bucket,25,5000,2,U,9150693
kn,bucket,50,10000,2,U,36647488
kn,bucket,100,11000,2,U,46482199
k,quad,5,1000,2,G,681275
k,quad,10,1000,2,G,782222
k,quad,25,1000,2,G,984425
k,quad,50,1000,2,G,1290137
k,quad,100,1000,2,G,1493510
n,quad,25,1000,2,G,99367
n,quad,25,2000,2,G,353182
n,quad,25,5000,2,G,1809023
n,quad,25,10000,2,G,6515418
n,quad,25,11000,2,G,7818477
kn,quad,5,1000,2,G,65209
kn,quad,10,2000,2,G,273435
kn,quad,25,5000,2,G,1839108
kn,quad,50,10000,2,G,7703288
kn,quad,100,11000,2,G,10889961
k,quad,5,1000,2,U,818114
k,quad,10,1000,2,U,962146
k,quad,25,1000,2,U,1373430
k,quad,50,1000,2,U,1641911
k,quad,100,1000,2,U,2036135
n,quad,25,1000,2,U,123687
n,quad,25,2000,2,U,451133
n,quad,25,5000,2,U,2482026
n,quad,25,10000,2,U,8222260
n,quad,25,11000,2,U,9565428
kn,quad,5,1000,2,U,75557
kn,quad,10,2000,2,U,310075
kn,quad,25,5000,2,U,2483043
kn,quad,50,10000,2,U,9751703
kn,quad,100,11000,2,U,13905872
k,kd,5,1000,2,G,586196
k,kd,10,1000,2,G,996023
k,kd,25,1000,2,G,1560200
k,kd,50,1000,2,G,2096984
k,kd,100,1000,2,G,2861715
n,kd,25,1000,2,G,165378
n,kd,25,2000,2,G,464167
n,kd,25,5000,2,G,2046321
n,kd,25,10000,2,G,6270931
n,kd,25,11000,2,G,6905379
kn,kd,5,1000,2,G,62731
kn,kd,10,2000,2,G,281996
kn,kd,25,5000,2,G,1980819
kn,kd,50,10000,2,G,9222127
kn,kd,100,11000,2,G,15295057
d,kd,25,1000,1,G,1422361
d,kd,25,1000,2,G,691662
d,kd,25,1000,3,G,683187
d,kd,25,1000,4,G,919391
d,kd,25,1000,5,G,1194724
d,kd,25,1000,6,G,1652905
d,kd,25,1000,7,G,2047355
k,kd,5,1000,2,U,425542
k,kd,10,1000,2,U,670332
k,kd,25,1000,2,U,1158844
k,kd,50,1000,2,U,1355626
k,kd,100,1000,2,U,2182646
n,kd,25,1000,2,U,97037
n,kd,25,2000,2,U,279628
n,kd,25,5000,2,U,1557168
n,kd,25,10000,2,U,4844562
n,kd,25,11000,2,U,5058841
kn,kd,5,1000,2,U,47623
kn,kd,10,2000,2,U,217852
kn,kd,25,5000,2,U,1529541
kn,kd,50,10000,2,U,6284784
kn,kd,100,11000,2,U,11206210
d,kd,25,1000,1,U,1458235
d,kd,25,1000,2,U,685869
d,kd,25,1000,3,U,726627
d,kd,25,1000,4,U,974189
d,kd,25,1000,5,U,1176621
d,kd,25,1000,6,U,1568346
d,kd,25,1000,7,U,1964582
